PublicID,V3C_PublicID,V3C_Complete,V3C_Status,V3CVer,V3CDATE_INT,V3CA01,V3CA02,V3CA03,V3CA04,V3CA05,V3CA06,V3CA07,V3CA08,V3CA09,V3CA10
00319M,00319M,Complete,Passed,2,-77,2,1,4,3,2,2,1,2,2,4
00321C,00321C,Complete,Passed,2,-72,1,1,4,2,3,4,4,4,4,4
00325R,00325R,Complete,Passed,2,-77,1,1,4,2,4,3,3,4,4,4
00329J,00329J,Complete,Passed,2,-96,1,1,4,1,3,3,4,4,4,4
00335O,00335O,Complete,Passed,2,-105,1,1,3,3,3,3,3,3,3,4
00337K,00337K,Complete,Passed,2,-74,1,1,2,3,2,2,3,3,3,4
00341T,00341T,Complete,Passed,2,-88,1,1,4,2,4,4,4,4,4,4
00345L,00345L,Complete,Passed,2,-108,1,1,2,2,3,4,4,4,4,4
00348F,00348F,Complete,Passed,2,-91,1,1,3,1,3,3,4,4,4,4
00349D,00349D,Complete,Passed,2,-77,1,1,3,2,4,2,4,4,4,4
00352O,00352O,Complete,Passed,2,-88,1,1,4,1,4,4,4,4,4,4
00353M,00353M,Complete,Passed,2,-84,1,1,4,1,3,3,4,4,4,4
00354K,00354K,Complete,Passed,2,-78,1,1,2,3,4,2,2,3,3,4
00355I,00355I,Complete,Passed,2,-105,1,2,2,2,2,3,3,3,4,4
00356G,00356G,Complete,Passed,2,-106,1,1,3,2,4,3,4,4,3,4
00358C,00358C,Complete,Passed,2,-99,1,2,1,4,1,1,3,2,1,4
00359A,00359A,Complete,Passed,2,-106,1,1,3,2,4,3,4,4,4,4
00363J,00363J,Complete,Passed,2,-98,1,1,2,3,3,3,3,3,3,4
00364H,00364H,Complete,Passed,2,-85,1,1,3,3,3,3,4,3,4,4
00365F,00365F,Complete,Passed,2,-86,1,2,2,2,3,1,4,4,4,4
00366D,00366D,Complete,Passed,2,-114,1,1,3,3,3,2,4,3,3,4
00369U,00369U,Complete,Passed,2,-79,1,1,3,3,3,3,3,3,4,4
00370M,00370M,Complete,Passed,2,-80,1,1,4,1,4,4,4,4,4,4
00376A,00376A,Complete,Passed,2,-80,1,1,4,1,3,3,4,3,4,4
00383D,00383D,Complete,Passed,2,-98,1,1,4,1,4,4,4,3,3,4
