PublicID,V1G_PublicID,V1G_Complete,V1G_Status,V1GVer,V1GDATE_INT,V1GA01,V1GA02,V1GA03,V1GA04,V1GA05,V1GA06,V1GA07,V1GA08,V1GA09,V1GA10,V1GA11,V1GA12
14816S,14816S,Complete,Passed,2,-212,5,3,5,3,3,7,6,5,7,5,5,7
14817Q,14817Q,Complete,Passed,2,-183,7,7,7,7,7,7,7,7,7,7,7,7
14820E,14820E,Complete,Passed,2,-185,7,7,7,7,7,7,7,7,7,7,7,7
14821C,14821C,Complete,Passed,2,-184,7,7,6,6,7,6,7,6,7,7,6,6
14822A,14822A,Complete,Passed,2,-184,7,7,7,7,7,7,7,7,7,7,7,7
14827N,14827N,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
14832U,14832U,Complete,Passed,2,-196,7,7,7,7,7,7,7,7,7,7,7,7
14833S,14833S,Complete,Passed,2,-152,6,6,6,6,6,7,7,6,7,6,7,7
14834Q,14834Q,Complete,Passed,2,-197,7,7,7,7,7,6,6,7,7,7,7,7
14835O,14835O,Complete,Passed,2,-162,7,7,7,7,7,7,7,6,7,7,7,6
14836M,14836M,Complete,Passed,2,-144,7,7,6,7,7,7,7,5,7,7,5,7
14838I,14838I,Complete,Passed,2,-183,1,6,4,5,4,7,7,4,7,5,4,7
14839G,14839G,Complete,Passed,2,-178,7,7,7,7,7,7,7,7,7,7,7,7
14844N,14844N,Complete,Passed,2,-198,7,7,7,7,7,7,7,7,7,7,7,7
14847H,14847H,Complete,Passed,2,-189,7,7,7,7,7,6,6,6,6,7,7,6
14853M,14853M,Complete,Passed,2,-187,6,6,7,7,6,6,6,7,7,7,7,7
14856G,14856G,Complete,Passed,2,-193,7,7,7,7,7,5,4,7,5,7,7,5
14860P,14860P,Complete,Passed,2,-183,7,7,7,7,7,6,7,7,7,7,7,6
14863J,14863J,Complete,Passed,2,-199,7,7,7,7,7,6,6,7,6,7,7,6
14867B,14867B,Complete,Passed,2,-191,6,7,7,7,7,7,7,7,7,7,7,7
14871K,14871K,Complete,Passed,2,-189,7,7,5,6,7,5,5,6,5,7,6,5
14877V,14877V,Complete,Passed,2,-185,7,7,7,7,7,7,6,7,7,7,7,7
14878T,14878T,Complete,Passed,2,-185,7,7,7,7,7,7,7,7,7,7,7,7
14880J,14880J,Complete,Passed,2,-209,7,7,7,7,7,6,6,7,6,7,7,7
14883D,14883D,Complete,Passed,2,-150,7,7,7,7,7,7,7,7,7,7,7,7
14884B,14884B,Complete,Passed,2,-210,7,7,7,7,7,7,7,7,7,7,7,7
14890G,14890G,Complete,Passed,2,-191,1,1,1,1,1,1,1,1,1,1,1,1
14893A,14893A,Complete,Passed,2,-200,7,7,7,7,7,5,6,7,6,7,7,6
14894V,14894V,Complete,Passed,2,-150,6,7,6,6,7,7,7,6,7,7,7,7
14896R,14896R,Complete,Passed,2,-187,7,7,7,7,7,7,6,7,7,7,7,7
14897P,14897P,Complete,Passed,2,-199,6,7,5,5,7,5,5,5,5,7,5,5
14907P,14907P,Complete,Passed,2,-175,6,7,7,7,7,6,5,6,6,7,6,6
14908N,14908N,Complete,Passed,2,-187,5,5,7,5,4,3,3,6,3,6,7,3
14909L,14909L,Complete,Passed,2,-215,7,7,7,7,7,7,7,7,7,7,7,7
14910D,14910D,Complete,Passed,2,-185,6,5,6,6,6,4,4,6,5,6,6,5
14911B,14911B,Complete,Passed,2,-144,5,6,7,7,6,7,7,6,7,5,7,7
14918K,14918K,Complete,Passed,2,-161,6,7,5,5,7,6,6,5,6,7,5,6
14919I,14919I,Complete,Passed,2,-191,7,7,7,7,7,7,7,7,7,7,7,7
14920A,14920A,Complete,Passed,2,-135,7,7,7,7,7,6,6,6,6,7,6,6
14921V,14921V,Complete,Passed,2,-137,7,7,7,7,7,6,5,6,5,7,7,5
14924P,14924P,Complete,Passed,2,-191,6,6,7,7,5,7,7,7,7,6,6,7
14926L,14926L,Complete,Passed,2,-208,7,7,7,7,7,7,7,7,7,7,7,7
14927J,14927J,Complete,Passed,2,-194,7,7,7,7,7,7,7,7,7,7,7,7
14929F,14929F,Complete,Passed,2,-190,6,7,7,7,7,5,5,7,4,7,7,4
14930U,14930U,Complete,Passed,2,-199,6,6,6,6,6,6,6,6,6,6,6,6
14933O,14933O,Complete,Passed,2,-211,7,7,6,6,7,5,5,4,5,7,4,5
14935K,14935K,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
14939C,14939C,Complete,Passed,2,-189,6,7,6,6,7,5,6,7,6,7,7,5
